validation_status,case_id,parameter,category,position,value,nominal,unit,scenario_id,seed,policy_id,spillback_time_sec,recovery_time_sec,recovery_observed,total_travel_time_sec,worst_approach_delay_sec,spillback_delta_pct,travel_time_delta_pct,guard_passed,guard_codes,acceptance_all_passed,result_sha256,row_sha256,input_sha256,results_sha256,git_commit_sha,environment_sha256
internal_exploratory_non_independent,nominal,all,nominal,nominal,,,,rain_spillback_a,4,fixed_metering,740.0,900,False,151374.0,716.9,-61.2,-38.5,False,FAIRNESS_P95_EXCEEDED|FAIRNESS_P95_EXCEEDED,,68cb0c0094f1cf8a6a9f38b4f0c2b94edafa466b1b8c6174b95050779c36a5a2,a81bf22d62a9589e2f50bc28a02ee2fcae2620cb25d3aab837f43905bde0a71d,f7783fa61c3c5a569f1c3dca1d3183046e82eb0d38c0406ae45bb5d4fb58ad55,0809fbeed2392eef7bb225f6e4fb766b752006e463358a3098dd8799ae92cb56,45f997bea2ef8ee3274948f5f1bf48d888385e46,20f832cfa21b7422fd972cd23080c36e4f73a2215f06e289bc5b17e65a75a068
internal_exploratory_non_independent,nominal,all,nominal,nominal,,,,rain_spillback_a,4,corridor_gating,0.0,480,True,56299.0,34.0,-100.0,-77.1,True,,True,b7956e840a23fef85c950f13a8ee4d53a54516ad5a8b4902b4accda421f79c89,a81bf22d62a9589e2f50bc28a02ee2fcae2620cb25d3aab837f43905bde0a71d,f7783fa61c3c5a569f1c3dca1d3183046e82eb0d38c0406ae45bb5d4fb58ad55,0809fbeed2392eef7bb225f6e4fb766b752006e463358a3098dd8799ae92cb56,45f997bea2ef8ee3274948f5f1bf48d888385e46,20f832cfa21b7422fd972cd23080c36e4f73a2215f06e289bc5b17e65a75a068
internal_exploratory_non_independent,nominal,all,nominal,nominal,,,,rain_spillback_a,5,no_action,1995.0,900,False,268506.0,1117.2,0.0,0.0,True,,,ff8ddf96cc950e178f257542d28b744dfc9df4ee4ed7983995c06710b5bec0cb,12369b2f884848eae8cf77c92bf76e5d608d209d8e96152b868419b9aaaab70a,f7783fa61c3c5a569f1c3dca1d3183046e82eb0d38c0406ae45bb5d4fb58ad55,0809fbeed2392eef7bb225f6e4fb766b752006e463358a3098dd8799ae92cb56,45f997bea2ef8ee3274948f5f1bf48d888385e46,20f832cfa21b7422fd972cd23080c36e4f73a2215f06e289bc5b17e65a75a068
internal_exploratory_non_independent,nominal,all,nominal,nominal,,,,rain_spillback_a,5,fixed_metering,745.0,900,False,152908.0,722.1,-62.7,-43.1,False,FAIRNESS_P95_EXCEEDED|FAIRNESS_P95_EXCEEDED,,84dd2a9a41c69d9c49a0c080f373b78c96a6fd36ef70ef63d032ed5b49bfe73c,12369b2f884848eae8cf77c92bf76e5d608d209d8e96152b868419b9aaaab70a,f7783fa61c3c5a569f1c3dca1d3183046e82eb0d38c0406ae45bb5d4fb58ad55,0809fbeed2392eef7bb225f6e4fb766b752006e463358a3098dd8799ae92cb56,45f997bea2ef8ee3274948f5f1bf48d888385e46,20f832cfa21b7422fd972cd23080c36e4f73a2215f06e289bc5b17e65a75a068
internal_exploratory_non_independent,nominal,all,nominal,nominal,,,,rain_spillback_a,5,corridor_gating,0.0,500,True,60517.0,44.9,-100.0,-77.5,True,,True,39a32c373cf6565b8654f18c7a57055e1ca4809126df21a92741d72dc2f339c9,12369b2f884848eae8cf77c92bf76e5d608d209d8e96152b868419b9aaaab70a,f7783fa61c3c5a569f1c3dca1d3183046e82eb0d38c0406ae45bb5d4fb58ad55,0809fbeed2392eef7bb225f6e4fb766b752006e463358a3098dd8799ae92cb56,45f997bea2ef8ee3274948f5f1bf48d888385e46,20f832cfa21b7422fd972cd23080c36e4f73a2215f06e289bc5b17e65a75a068
internal_exploratory_non_independent,nominal,all,nominal,nominal,,,,rain_spillback_a,6,no_action,1915.0,900,False,249557.0,1068.2,0.0,0.0,True,,,aa6865185ccc4d8af9d58aad6f5d6d04949a156f821d9146429fbd95cdd4ba25,d60a0f9c71ebf212d756373fc6b1432e601a954d0831397ed526656e4f7189db,f7783fa61c3c5a569f1c3dca1d3183046e82eb0d38c0406ae45bb5d4fb58ad55,0809fbeed2392eef7bb225f6e4fb766b752006e463358a3098dd8799ae92cb56,45f997bea2ef8ee3274948f5f1bf48d888385e46,20f832cfa21b7422fd972cd23080c36e4f73a2215f06e289bc5b17e65a75a068
internal_exploratory_non_independent,nominal,all,nominal,nominal,,,,rain_spillback_a,6,fixed_metering,750.0,900,False,154768.0,718.6,-60.8,-38.0,False,FAIRNESS_P95_EXCEEDED|FAIRNESS_P95_EXCEEDED,,b757535bda0d1c66d8cda22d9e26b4a6f2b4a839b4d468ecd69d56d6097e826c,d60a0f9c71ebf212d756373fc6b1432e601a954d0831397ed526656e4f7189db,f7783fa61c3c5a569f1c3dca1d3183046e82eb0d38c0406ae45bb5d4fb58ad55,0809fbeed2392eef7bb225f6e4fb766b752006e463358a3098dd8799ae92cb56,45f997bea2ef8ee3274948f5f1bf48d888385e46,20f832cfa21b7422fd972cd23080c36e4f73a2215f06e289bc5b17e65a75a068
internal_exploratory_non_independent,nominal,all,nominal,nominal,,,,rain_spillback_a,6,corridor_gating,0.0,510,True,57440.0,32.0,-100.0,-77.0,True,,True,44aab52c1861bbf3d96db020eadc9f5955f9c0030783d029c959e6ab56b3a28c,d60a0f9c71ebf212d756373fc6b1432e601a954d0831397ed526656e4f7189db,f7783fa61c3c5a569f1c3dca1d3183046e82eb0d38c0406ae45bb5d4fb58ad55,0809fbeed2392eef7bb225f6e4fb766b752006e463358a3098dd8799ae92cb56,45f997bea2ef8ee3274948f5f1bf48d888385e46,20f832cfa21b7422fd972cd23080c36e4f73a2215f06e289bc5b17e65a75a068
internal_exploratory_non_independent,nominal,all,nominal,nominal,,,,rain_spillback_a,7,no_action,2000.0,900,False,271441.0,1115.0,0.0,0.0,True,,,c5a1c96d88fbeff7ce5d9b89eeded8f65a334c760375ebe34aa015225d56491e,94be421cd86187cbc1b8621fdba9e824afbeac98017fde5419c3c95fdec7585d,f7783fa61c3c5a569f1c3dca1d3183046e82eb0d38c0406ae45bb5d4fb58ad55,0809fbeed2392eef7bb225f6e4fb766b752006e463358a3098dd8799ae92cb56,45f997bea2ef8ee3274948f5f1bf48d888385e46,20f832cfa21b7422fd972cd23080c36e4f73a2215f06e289bc5b17e65a75a068
internal_exploratory_non_independent,nominal,all,nominal,nominal,,,,rain_spillback_a,7,fixed_metering,745.0,900,False,155521.0,726.6,-62.7,-42.7,False,FAIRNESS_P95_EXCEEDED|FAIRNESS_P95_EXCEEDED,,8c0872fbcbd9a15b9aaee4cb4199f2f0e3504edf522591aa037d027f82c4fb3b,94be421cd86187cbc1b8621fdba9e824afbeac98017fde5419c3c95fdec7585d,f7783fa61c3c5a569f1c3dca1d3183046e82eb0d38c0406ae45bb5d4fb58ad55,0809fbeed2392eef7bb225f6e4fb766b752006e463358a3098dd8799ae92cb56,45f997bea2ef8ee3274948f5f1bf48d888385e46,20f832cfa21b7422fd972cd23080c36e4f73a2215f06e289bc5b17e65a75a068
